requisito_id,tipo,licenca,documento,modulo,topico,teste_aderencia,evidencia_esperada,peso,impacto,norma_origem,artigo_referencia,aplicabilidade_uf,data_mapeamento
RP.093,Gestao,,Protocolo de comunicacao com defesa civil,MODULO 17 - STAKEHOLDERS,Topico 17.2 - Transparencia Ativa,Informacoes de seguranca sao comunicadas proativamente (nao apenas sob demanda)?,Frequencia + canais de comunicacao periodica,2,Medio,PL 2519/2024 MG + GISTM,,MG,2026-04-18
RP.094,Gestao,,Ficha publica da pilha,MODULO 17 - STAKEHOLDERS,Topico 17.3 - Grievance Mechanism,Ha canal formal de reclamacoes/queixas com resposta rastreavel em <= 30 dias?,Sistema de ouvidoria + metricas de fechamento,2,Medio,GISTM Principio 14 + ICMM,,MG,2026-04-18
RP.095,Gestao,,Mapa da ZAS,MODULO 17 - STAKEHOLDERS,Topico 17.4 - Planos de Contingencia Comunitarios,Comunidades na ZAS possuem plano proprio de emergencia e rota de fuga?,Material educativo + registros de treinamento comunitario,3,Alto,Lei MG 23.291/2019 + GISTM,,MG,2026-04-18
RP.096,Gestao,,EOR designado,MODULO 18 - GOVERNANCA,Topico 18.1 - Accountability,A responsabilidade pela seguranca da pilha esta claramente atribuida em nivel C-level?,Organograma + carta de accountability assinada,3,Alto,GISTM Principio 1-3,,MG,2026-04-18
RP.097,Gestao,,Politicas corporativas GISTM,MODULO 18 - GOVERNANCA,Topico 18.2 - Cultura de Seguranca,A empresa publicou politica de seguranca de pilhas com compromissos mensuraveis?,Politica corporativa assinada pelo CEO,2,Medio,ICMM Good Practice 2025,,MG,2026-04-18
RP.098,Gestao,,ITRB,MODULO 18 - GOVERNANCA,Topico 18.3 - Revisao Independente,Ha revisao independente externa periodica (ITRB ou auditor terceiro) pelo menos anual?,Atas ITRB / relatorios de auditoria externa,3,Alto,GISTM Principio 13 + PL 3799/2024,,MG,2026-04-18
RP.099,Gestao,,Plano de monitoramento geotecnico,MODULO 18 - GOVERNANCA,Topico 18.4 - Matriz de Risco,A matriz de riscos da pilha e revisada com frequencia minima anual?,Matriz datada + historico de revisoes,3,Alto,ICMM + MAC Guide,,MG,2026-04-18
RP.100,Gestao,,Reavaliacao anual por empresa terceira,MODULO 18 - GOVERNANCA,Topico 18.5 - Lessons Learned,Ocorre processo formal de licoes aprendidas apos eventos/quase-eventos?,Registros de analise + disseminacao interna,2,Medio,ICMM + boa pratica pos-Brumadinho,,MG,2026-04-18
RP.101,Legal,,Comunicacao previa de modificacao,MODULO 19 - GESTAO DE MUDANCAS,Topico 19.1 - MoC Formal,Existe processo de Management of Change (MoC) para alteracoes de projeto/operacao?,Procedimento MoC + historico de registros,3,Alto,ICMM + GISTM Principio 8,,MG,2026-04-18
RP.102,Tecnica,,Projeto executivo completo com ART,MODULO 19 - GESTAO DE MUDANCAS,Topico 19.2 - Projeto Atualizado,O projeto executivo reflete a configuracao real as-is (nao apenas o as-built inicial)?,Documentacao atualizada com ART vigente,2,Medio,boa pratica AECOM,,MG,2026-04-18
RP.103,Legal,,Comunicacao previa de modificacao,MODULO 19 - GESTAO DE MUDANCAS,Topico 19.3 - Aprovacoes,Mudancas materiais foram precedidas de anuencia do EOR e do orgao ambiental?,Pareceres + protocolos,3,Alto,PL 3799/2024 Art.58-E + GISTM,,MG,2026-04-18
RP.104,Tecnica,,Estudo hidrologico com series historicas 20 anos,MODULO 20 - CLIMA E EVENTOS EXTREMOS,Topico 20.1 - Re-analise Climatica,O projeto considerou re-analise climatica nos ultimos 5 anos (nao apenas o original)?,Memoria de calculo com data + cenarios atualizados,3,Alto,PL 3799/2024 + ICMM,,MG,2026-04-18
RP.105,Tecnica,,RISE - Relatorio de Inspecao de Seguranca Especial,MODULO 20 - CLIMA E EVENTOS EXTREMOS,Topico 20.2 - Pos-Evento,"Houve inspecao especial apos cada evento extremo (chuva, tremor, deslizamento proximo)?",Historico de RISE por evento,3,Alto,NRM-19,,MG,2026-04-18
RP.106,Tecnica,,Plano de monitoramento hidrico,MODULO 20 - CLIMA E EVENTOS EXTREMOS,Topico 20.3 - Alertas Meteorologicos,Existe integracao com alertas meteorologicos (CEMADEN/INMET) com gatilhos automaticos?,Evidencia de integracao + log de alertas,2,Medio,boa pratica pos-Brumadinho,,MG,2026-04-18
RP.107,Gestao,,Lista de responsaveis e contatos 24/7,MODULO 21 - TREINAMENTO,Topico 21.1 - Qualificacao,"Equipe de operacao tem treinamento documentado em NR-22, primeiros socorros e PAE?",Matriz de treinamento + certificados,2,Medio,NR-22 + ICMM,,MG,2026-04-18
RP.108,Gestao,,Simulados periodicos com comunidades,MODULO 21 - TREINAMENTO,Topico 21.2 - Simulado Interno,Ocorrem simulados internos de emergencia ao menos semestrais com avaliacao de resposta?,Relatorios de simulado + plano de melhoria,3,Alto,Lei MG 23.291/2019 + boa pratica,,MG,2026-04-18
RP.109,Tecnica,,Estudo hidrologico com series historicas e projecoes climaticas,MODULO 22 - PROJETO ROBUSTO,Topico 22.1 - Mudanca Climatica,O estudo hidrologico incorpora cenarios de mudanca climatica (RCP 4.5/8.5) e projecao 30 anos?,Memorial com analise de cenarios climaticos,3,Alto,ICMM Climate Change Guide 2024,,BR,2026-04-18
RP.110,Tecnica,,Analise de estabilidade estatica,MODULO 22 - PROJETO ROBUSTO,Topico 22.2 - Revisao Independente,O projeto foi submetido a Independent Tailings Review Board (ITRB) com pelo menos 3 especialistas?,Pareceres ITRB datados e assinados,3,Alto,GISTM 2.4 + boa pratica,,BR,2026-04-18
RP.111,Tecnica,,Modelagem de ruptura hipotetica,MODULO 22 - PROJETO ROBUSTO,Topico 22.3 - Cenarios Multiplos,"A modelagem de ruptura considera cenarios multiplos (estatico, sismico, sobrelevacao, liquefacao)?",Relatorio com >=4 cenarios + mapa ZAS/ZSS,3,Alto,NBR 13029:2017 + GISTM,,BR,2026-04-18
RP.112,Tecnica,,Projeto de instrumentacao,MODULO 22 - PROJETO ROBUSTO,Topico 22.4 - Densidade de Instrumentos,A densidade de instrumentos atende referencia ICMM (>=1 piezometro/200m linear de talude)?,Planta com locacao + memoria de calculo,2,Medio,ICMM Good Practice 2025,,BR,2026-04-18
RP.113,Tecnica,,Classificacao de consequencia,MODULO 22 - PROJETO ROBUSTO,Topico 22.5 - Revisao Periodica,A classificacao de consequencia tem revisao programada a cada 5 anos ou em mudanca de cenario?,Cronograma + ultima revisao,2,Medio,Res. ANM 95/2022 + GISTM,,BR,2026-04-18
RP.114,Tecnica,,Estudo geotecnico de sondagens,MODULO 22 - PROJETO ROBUSTO,Topico 22.6 - Caracterizacao do Material,"O programa de sondagens contempla caracterizacao geomecanica completa (DSS, triaxial CU, adensamento)?",Relatorio de ensaios de laboratorio,3,Alto,NBR 13029:2017,,BR,2026-04-18
RP.115,Tecnica,,Estudo hidrogeologico,MODULO 22 - PROJETO ROBUSTO,Topico 22.7 - Monitoramento Lencol,O estudo hidrogeologico inclui rede de pocos de monitoramento e linha de base de qualidade?,Plano de monitoramento + analises trimestrais,3,Alto,CONAMA 396/2008 + boa pratica,,BR,2026-04-18
RP.116,Gestao,,Memorial descritivo e especificacoes construtivas,MODULO 22 - PROJETO ROBUSTO,Topico 22.8 - Trade-off Documentado,O memorial documenta analise de alternativas tecnologicas (dry stack vs convencional vs barragem)?,Matriz de decisao + criterios,2,Medio,ICMM + Equator Principles,,BR,2026-04-18
RP.117,Tecnica,,Plano de QA/QC com programa periodico de ensaios,MODULO 23 - QA QC IMPLANTACAO,Topico 23.1 - EoR Independente,O Engineer of Record (EoR) e independente da construtora e tem responsabilidade tecnica documentada?,Contrato EoR + ART,3,Alto,GISTM 2.5,,BR,2026-04-18
RP.118,Tecnica,,Aterro experimental,MODULO 23 - QA QC IMPLANTACAO,Topico 23.2 - Validacao de Premissas,"O aterro experimental valida premissas de projeto (compactacao, drenabilidade, FS) antes da execucao?",Relatorio comparativo previsto x medido,3,Alto,NBR 13029,,BR,2026-04-18
RP.119,Tecnica,,As-built por etapa construtiva,MODULO 23 - QA QC IMPLANTACAO,Topico 23.3 - As-built Digital,O as-built e gerado em formato digital BIM/GIS com integracao a sistema de gestao?,Modelo 3D + portal de acesso,2,Medio,ICMM Good Practice 2025,,BR,2026-04-18
RP.120,Tecnica,,Diario de obra geotecnico,MODULO 23 - QA QC IMPLANTACAO,Topico 23.4 - Auditoria de Obra,Auditorias de obra independentes ocorrem a cada 6 meses durante implantacao?,Relatorios de auditoria + plano de acao,2,Medio,boa pratica AECOM,,BR,2026-04-18
RP.121,Tecnica,,Registros de compactacao,MODULO 23 - QA QC IMPLANTACAO,Topico 23.5 - Rastreabilidade,"Cada lote de material tem rastreabilidade (origem, ensaios, lote-camada-coordenada)?",Sistema de rastreabilidade + amostras,2,Medio,ISO 9001 aplicada a obra,,BR,2026-04-18
RP.122,Tecnica,,Plano de fechamento da pilha,MODULO 24 - FECHAMENTO ROBUSTO,Topico 24.1 - Custeio Provisionado,O plano de fechamento tem custo orcado e provisionado contabilmente conforme NBR/IFRS?,Provisao em balanco + memoria de calculo,3,Alto,Res. ANM 68/2021 + IFRS,,BR,2026-04-18
RP.123,Tecnica,,Plano de fechamento da pilha,MODULO 24 - FECHAMENTO ROBUSTO,Topico 24.2 - Revisao Periodica,O plano e revisto a cada 5 anos ou em mudanca relevante de operacao?,Cronograma + ultima revisao,2,Medio,Res. ANM 68/2021,,BR,2026-04-18
RP.124,Tecnica,,Estabilidade quimica pos-operacao,MODULO 24 - FECHAMENTO ROBUSTO,Topico 24.3 - Drenagem Acida,Foi avaliado o potencial de drenagem acida (ABA / NAG / cinetico) e definida estrategia de mitigacao?,Relatorio de geoquimica + plano,3,Alto,INAP GARD Guide + NBR 22336,,BR,2026-04-18
RP.125,Tecnica,,Plano de uso futuro da area,MODULO 24 - FECHAMENTO ROBUSTO,Topico 24.4 - Engajamento Comunitario,O uso futuro foi definido com engajamento documentado da comunidade afetada?,Atas + termo de compromisso,3,Alto,GISTM 4.x + IFC PS 5,,BR,2026-04-18
RP.126,Tecnica,,PRAD,MODULO 24 - FECHAMENTO ROBUSTO,Topico 24.5 - Indicadores de Sucesso,"O PRAD define indicadores SMART de sucesso (cobertura vegetal %, biodiversidade, qualidade de agua)?",PRAD com KPIs + cronograma,2,Medio,Lei 9.985/2000 + boa pratica,,BR,2026-04-18
RP.127,Tecnica,,Plano de fechamento progressivo,MODULO 24 - FECHAMENTO ROBUSTO,Topico 24.6 - Execucao Faseada,Existem evidencias de execucao progressiva durante a operacao (nao apenas no encerramento)?,Cronograma + relatorios de execucao,3,Alto,Res. ANM 68/2021,,BR,2026-04-18
RP.128,Tecnica,,Plano de fechamento da pilha,MODULO 24 - FECHAMENTO ROBUSTO,Topico 24.7 - Monitoramento Pos-Fechamento,O plano contempla monitoramento pos-fechamento por minimo 5 anos com relatorios anuais?,Cronograma de monitoramento + responsavel,3,Alto,Res. ANM 68/2021,,BR,2026-04-18
RP.129,Tecnica,,Estabilidade quimica pos-operacao,MODULO 24 - FECHAMENTO ROBUSTO,Topico 24.8 - Cobertura de Engenharia,"O projeto de cobertura final tem desempenho avaliado (infiltracao, evapotranspiracao, percolacao)?",Memorial + modelagem HELP/UNSAT-H,2,Medio,INAP GARD Guide,,BR,2026-04-18
RP.130,Gestao,,Plano de uso futuro da area,MODULO 24 - FECHAMENTO ROBUSTO,Topico 24.9 - Transferencia de Custodia,"Existe plano de transferencia de custodia / responsabilidade pos-fechamento (poder publico, comunidade)?",Termo de transferencia + condicoes,3,Alto,Res. ANM 68/2021 + boa pratica,,BR,2026-04-18
RP.131,Gestao,,PRAD,MODULO 24 - FECHAMENTO ROBUSTO,Topico 24.10 - Auditoria Independente,O PRAD tem auditoria de eficacia conduzida por terceiro independente a cada 2 anos pos-execucao?,Relatorios de auditoria,2,Medio,boa pratica + GISTM,,BR,2026-04-18
RP.200,Gestao,,GISTM Principio 1,GISTM - Principio 01,P01 - Engajamento de comunidades afetadas,Existe processo formal de identificacao de comunidades em ZAS e ZSS atualizado nos ultimos 12 meses?,Mapa ZAS/ZSS + lista de comunidades + atas,3,Alto,GISTM P1,,BR,2026-05-16
RP.201,Gestao,,GISTM Principio 1,GISTM - Principio 01,P01 - Engajamento de comunidades afetadas,Foi conduzida avaliacao social baseline com metodologia reconhecida (IFC PS5 / GISTM)?,Relatorio de baseline com indicadores SMART,3,Alto,GISTM P1,,BR,2026-05-16
RP.202,Gestao,,GISTM Principio 1,GISTM - Principio 01,P01 - Engajamento de comunidades afetadas,Engajamento e documentado em plano com cronograma e metricas?,SEP - Stakeholder Engagement Plan,2,Medio,GISTM P1,,BR,2026-05-16
RP.203,Gestao,,GISTM Principio 1,GISTM - Principio 01,P01 - Engajamento de comunidades afetadas,Comunidades sao informadas previamente sobre simulados e visitas tecnicas?,Comunicados + protocolos de envio,2,Medio,GISTM P1,,BR,2026-05-16
RP.204,Gestao,,GISTM Principio 2,GISTM - Principio 02,P02 - Mecanismos de grievance,Existe mecanismo de grievance acessivel e divulgado para as comunidades?,Procedimento + canais de contato + estatisticas,3,Alto,GISTM P2,,BR,2026-05-16
RP.205,Gestao,,GISTM Principio 2,GISTM - Principio 02,P02 - Mecanismos de grievance,SLA de resposta a queixa esta definido e cumprido (registro)?,Dashboard de queixas com tempo medio de resposta,2,Medio,GISTM P2,,BR,2026-05-16
RP.206,Gestao,,GISTM Principio 2,GISTM - Principio 02,P02 - Mecanismos de grievance,Existe escalonamento e tratamento de queixas reincidentes?,Procedimento de escalation + logs,2,Medio,GISTM P2,,BR,2026-05-16
RP.207,Gestao,,GISTM Principio 2,GISTM - Principio 02,P02 - Mecanismos de grievance,Resultado da apuracao retorna a comunidade reclamante (closure loop)?,Comunicados de retorno + ata,2,Medio,GISTM P2,,BR,2026-05-16
RP.208,Gestao,,GISTM Principio 3,GISTM - Principio 03,P03 - Base de conhecimento integrada,Existe Knowledge Management System (KMS) com versionamento de toda documentacao tecnica?,KMS / portal de documentos com historico,3,Alto,GISTM P3,,BR,2026-05-16
RP.209,Gestao,,GISTM Principio 3,GISTM - Principio 03,P03 - Base de conhecimento integrada,Dados de instrumentacao sao integrados a base centralizada com retencao definida?,Data lake / sistema centralizado + politica de retencao,3,Alto,GISTM P3,,BR,2026-05-16
RP.210,Gestao,,GISTM Principio 3,GISTM - Principio 03,P03 - Base de conhecimento integrada,Existe processo formal para atualizar a base quando ha mudanca de premissa?,MoC - Management of Change registrado,2,Medio,GISTM P3,,BR,2026-05-16
RP.211,Gestao,,GISTM Principio 3,GISTM - Principio 03,P03 - Base de conhecimento integrada,Custodia tecnica esta formalizada (responsavel e backup)?,Matriz de responsabilidade tecnica,2,Medio,GISTM P3,,BR,2026-05-16
RP.212,Gestao,,GISTM Principio 4,GISTM - Principio 04,P04 - Avaliacao de risco,"Existe avaliacao de risco multi-disciplinar (geo, ambiental, social) atualizada?",Matriz de risco com revisao datada,3,Alto,GISTM P4,,BR,2026-05-16
RP.213,Gestao,,GISTM Principio 4,GISTM - Principio 04,P04 - Avaliacao de risco,"Metodologia adotada e reconhecida (FMEA, BowTie, FMECA)?",Metodologia documentada + treinamento equipe,2,Medio,GISTM P4,,BR,2026-05-16
RP.214,Gestao,,GISTM Principio 4,GISTM - Principio 04,P04 - Avaliacao de risco,Cenarios incluem mudanca climatica e eventos extremos?,Memorial com cenarios RCP 4.5/8.5,3,Alto,GISTM P4,,BR,2026-05-16
RP.215,Gestao,,GISTM Principio 4,GISTM - Principio 04,P04 - Avaliacao de risco,Riscos sao reportados ao Accountable Executive trimestralmente?,Atas / dashboards de governanca,2,Medio,GISTM P4,,BR,2026-05-16
RP.216,Gestao,,GISTM Principio 5,GISTM - Principio 05,P05 - Selecao de alternativas (BAT),"Existe estudo formal de alternativas tecnologicas (dry stack, codisposicao, barragem)?",Trade-off study com criterios de selecao,3,Alto,GISTM P5,,BR,2026-05-16
RP.217,Gestao,,GISTM Principio 5,GISTM - Principio 05,P05 - Selecao de alternativas (BAT),Selecao considera reducao maxima de risco como criterio dominante?,Matriz de decisao com peso ao risco,3,Alto,GISTM P5,,BR,2026-05-16
RP.218,Gestao,,GISTM Principio 5,GISTM - Principio 05,P05 - Selecao de alternativas (BAT),BAT - Best Available Technology e revisitada a cada 5 anos ou em projeto novo?,Cronograma de revisao + ultima atualizacao,2,Medio,GISTM P5,,BR,2026-05-16
RP.219,Gestao,,GISTM Principio 6,GISTM - Principio 06,P06 - Gestao da pilha (TMP),Existe TMP - Tailings Management Plan integrado e atualizado?,TMP versao mais recente + log de alteracoes,3,Alto,GISTM P6,,BR,2026-05-16
RP.220,Gestao,,GISTM Principio 6,GISTM - Principio 06,P06 - Gestao da pilha (TMP),TMP define ciclo de auditoria com EoR/RTFE/ITRB?,Cronograma de auditorias + relatorios anteriores,3,Alto,GISTM P6,,BR,2026-05-16
RP.221,Gestao,,GISTM Principio 6,GISTM - Principio 06,P06 - Gestao da pilha (TMP),Mudancas significativas passam por MoC documentado?,Registros de MoC dos ultimos 24 meses,2,Medio,GISTM P6,,BR,2026-05-16
RP.222,Gestao,,GISTM Principio 6,GISTM - Principio 06,P06 - Gestao da pilha (TMP),TMP inclui criterios de aceitacao de projeto e operacao?,Performance criteria + indicadores,2,Medio,GISTM P6,,BR,2026-05-16
RP.223,Gestao,,GISTM Principio 7,GISTM - Principio 07,P07 - Monitoramento de desempenho,"Programa de monitoramento contempla instrumentacao geotecnica completa (piezometros, inclinometros, marcos)?",Plano de monitoramento + planta de locacao,3,Alto,GISTM P7,,BR,2026-05-16
RP.224,Gestao,,GISTM Principio 7,GISTM - Principio 07,P07 - Monitoramento de desempenho,Existem thresholds TARP com niveis de alerta e acao definidos?,TARP - Trigger Action Response Plan,3,Alto,GISTM P7,,BR,2026-05-16
RP.225,Gestao,,GISTM Principio 7,GISTM - Principio 07,P07 - Monitoramento de desempenho,Telemetria tem disponibilidade maior ou igual a 99% verificavel?,SLA de telemetria + logs de uptime,3,Alto,GISTM P7,,BR,2026-05-16
RP.226,Gestao,,GISTM Principio 7,GISTM - Principio 07,P07 - Monitoramento de desempenho,Dashboards estao acessiveis ao C-level em tempo real?,Print de dashboard executivo + acesso comprovado,2,Medio,GISTM P7,,BR,2026-05-16
RP.227,Gestao,,GISTM Principio 8,GISTM - Principio 08,P08 - Revisao periodica de seguranca,Existe DSR - Dam Safety Review formal periodica (no maximo quinquenal)?,Ultimo DSR datado e assinado,3,Alto,GISTM P8,,BR,2026-05-16
RP.228,Gestao,,GISTM Principio 8,GISTM - Principio 08,P08 - Revisao periodica de seguranca,Especialista responsavel pelo DSR e independente da operacao?,CV especialista + declaracao de independencia,3,Alto,GISTM P8,,BR,2026-05-16
RP.229,Gestao,,GISTM Principio 8,GISTM - Principio 08,P08 - Revisao periodica de seguranca,Recomendacoes do DSR sao acompanhadas em plano de acao com prazos?,Plano de acao + status de implementacao,2,Medio,GISTM P8,,BR,2026-05-16
RP.230,Gestao,,GISTM Principio 9,GISTM - Principio 09,P09 - Sistema de gestao (TMS),Existe Tailings Management System (TMS) documentado e aprovado pelo board?,TMS + ata de aprovacao do board,3,Alto,GISTM P9,,BR,2026-05-16
RP.231,Gestao,,GISTM Principio 9,GISTM - Principio 09,P09 - Sistema de gestao (TMS),Politica de tailings esta integrada a politica corporativa de seguranca?,Politicas + cross-references,2,Medio,GISTM P9,,BR,2026-05-16
RP.232,Gestao,,GISTM Principio 9,GISTM - Principio 09,P09 - Sistema de gestao (TMS),TMS define competencias minimas para cada funcao critica?,Matriz de competencias + plano de capacitacao,2,Medio,GISTM P9,,BR,2026-05-16
RP.233,Gestao,,GISTM Principio 9,GISTM - Principio 09,P09 - Sistema de gestao (TMS),Auditoria interna do TMS ocorre ao menos anualmente?,Relatorios de auditoria interna,2,Medio,GISTM P9,,BR,2026-05-16
RP.234,Gestao,,GISTM Principio 10,GISTM - Principio 10,P10 - Governanca e accountability,Accountable Executive foi designado formalmente pelo CEO ou Board?,Carta de designacao,3,Alto,GISTM P10,,BR,2026-05-16
RP.235,Gestao,,GISTM Principio 10,GISTM - Principio 10,P10 - Governanca e accountability,Accountable Executive reporta diretamente ao Board sobre status da pilha?,Atas com reportes periodicos,3,Alto,GISTM P10,,BR,2026-05-16
RP.236,Gestao,,GISTM Principio 10,GISTM - Principio 10,P10 - Governanca e accountability,"Responsabilidades RACI estao mapeadas para EoR, RTFE, ITRB?",Matriz RACI + organograma,2,Medio,GISTM P10,,BR,2026-05-16
RP.237,Gestao,,GISTM Principio 10,GISTM - Principio 10,P10 - Governanca e accountability,Conflitos de interesse de membros do ITRB sao declarados e gerenciados?,Politica de COI + declaracoes,2,Medio,GISTM P10,,BR,2026-05-16
RP.238,Gestao,,GISTM Principio 11,GISTM - Principio 11,P11 - Resposta a emergencia,Existe ERP - Emergency Response Plan especifico para a pilha?,ERP datado e versionado,3,Alto,GISTM P11,,BR,2026-05-16
RP.239,Gestao,,GISTM Principio 11,GISTM - Principio 11,P11 - Resposta a emergencia,ERP incorpora cenarios multiplos incluindo ruptura hipotetica?,Memorial com cenarios + ZAS/ZSS,3,Alto,GISTM P11,,BR,2026-05-16
RP.240,Gestao,,GISTM Principio 11,GISTM - Principio 11,P11 - Resposta a emergencia,Simulados externos com poder publico ocorrem ao menos anualmente?,Relatorios de simulado + lista de presenca,3,Alto,GISTM P11,,BR,2026-05-16
RP.241,Gestao,,GISTM Principio 11,GISTM - Principio 11,P11 - Resposta a emergencia,Comunidades em ZAS tem treinamento e canal direto para alerta?,Plano de comunicacao + comprovantes,2,Medio,GISTM P11,,BR,2026-05-16
RP.242,Gestao,,GISTM Principio 12,GISTM - Principio 12,P12 - Recuperacao de longo prazo,Existe LTRP - Long Term Recovery Plan documentado?,LTRP datado e financiado,3,Alto,GISTM P12,,BR,2026-05-16
RP.243,Gestao,,GISTM Principio 12,GISTM - Principio 12,P12 - Recuperacao de longo prazo,LTRP contempla recursos financeiros provisionados (escrow ou garantia)?,Comprovante de provisao,3,Alto,GISTM P12,,BR,2026-05-16
RP.244,Gestao,,GISTM Principio 12,GISTM - Principio 12,P12 - Recuperacao de longo prazo,Cenarios de recuperacao consideram impactos socioeconomicos de longo prazo?,Estudo socioeconomico de longo prazo,2,Medio,GISTM P12,,BR,2026-05-16
RP.245,Gestao,,GISTM Principio 13,GISTM - Principio 13,P13 - Cessacao e transferencia,Existe plano de cessacao operacional integrado ao plano de fechamento mineiro?,Plano de cessacao + cronograma,3,Alto,GISTM P13,,BR,2026-05-16
RP.246,Gestao,,GISTM Principio 13,GISTM - Principio 13,P13 - Cessacao e transferencia,Transferencia de custodia pos-fechamento esta acordada (publico/privado)?,Termo de transferencia + condicoes,3,Alto,GISTM P13,,BR,2026-05-16
RP.247,Gestao,,GISTM Principio 13,GISTM - Principio 13,P13 - Cessacao e transferencia,Monitoramento pos-cessacao tem responsavel definido por minimo 5 anos?,Cronograma + responsavel,2,Medio,GISTM P13,,BR,2026-05-16
RP.248,Gestao,,GISTM Principio 14,GISTM - Principio 14,P14 - Disclosure publico,Existe portal publico com relatorios anuais conforme template ICMM/GTMI?,URL + relatorios publicados,3,Alto,GISTM P14,,BR,2026-05-16
RP.249,Gestao,,GISTM Principio 14,GISTM - Principio 14,P14 - Disclosure publico,Disclosure inclui classificacao de consequencia da pilha?,Documento publicado + data,3,Alto,GISTM P14,,BR,2026-05-16
RP.250,Gestao,,GISTM Principio 14,GISTM - Principio 14,P14 - Disclosure publico,Disclosure inclui resultado da ultima DSR e DSI?,Sumario executivo publicado,2,Medio,GISTM P14,,BR,2026-05-16
RP.251,Gestao,,GISTM Principio 14,GISTM - Principio 14,P14 - Disclosure publico,Disclosure inclui resumo do ERP e ZAS mapeada?,Documento publico,3,Alto,GISTM P14,,BR,2026-05-16
RP.252,Gestao,,GISTM Principio 15,GISTM - Principio 15,P15 - Acesso a documentos,Existe procedimento para receber e responder solicitacoes de informacao do publico?,Procedimento + SLA + log,3,Alto,GISTM P15,,BR,2026-05-16
RP.253,Gestao,,GISTM Principio 15,GISTM - Principio 15,P15 - Acesso a documentos,Informacoes confidenciais tem criterio claro de classificacao?,Politica de classificacao da informacao,2,Medio,GISTM P15,,BR,2026-05-16
RP.254,Gestao,,GISTM Principio 15,GISTM - Principio 15,P15 - Acesso a documentos,Documentos solicitados sao entregues em formato acessivel (legivel)?,Exemplos de respostas + feedback,2,Medio,GISTM P15,,BR,2026-05-16
